22/Aug/2022 04:23:36 PM - read_excel - 68 - INFO -                 PROCESS  JOBTYPE             OPN                                                 WI
0               Receive       FA  00, 01, 02, 05  000_Process Flow Chart, 015_Module and Patch c...
1                   NaN  Service          21, 43  000_Process Flow Chart, 015_Module and Patch c...
2                   NaN     TEFR              81  000_Process Flow Chart, 015_Module and Patch c...
3                   NaN      RMK             400  000_Process Flow Chart, 015_Module and Patch c...
4   VMI/EndFaceinsction       FA          08, 10  000_Process Flow Chart, 015_Module and Patch c...
5                   NaN  Service      31, 33, 38  000_Process Flow Chart, 015_Module and Patch c...
6                   NaN     TEFR              83  000_Process Flow Chart, 015_Module and Patch c...
7                   NaN      RMK             401  000_Process Flow Chart, 015_Module and Patch c...
8   MeterialDisposition       FA      06, 11, 12  000_Process Flow Chart, 015_Module and Patch c...
9                   NaN  Service          37, 73  000_Process Flow Chart, 015_Module and Patch c...
10              Packing       FA         17, 220  000_Process Flow Chart, 015_Module and Patch c...
11                  NaN  Service    45, 46A, 320  000_Process Flow Chart, 015_Module and Patch c...
12                  NaN     TEFR     87, 88A, 91  000_Process Flow Chart, 015_Module and Patch c...
13                  NaN      RMK        404, 412  000_Process Flow Chart, 015_Module and Patch c...
14      Shipmentrequest       FA         04A, 09  000_Process Flow Chart, 015_Module and Patch c...
15                  NaN  Service         26, 48A  000_Process Flow Chart, 015_Module and Patch c...
16                  NaN     TEFR             90A  000_Process Flow Chart, 015_Module and Patch c...
17                  NaN      RMK       405A, 415  000_Process Flow Chart, 015_Module and Patch c...
18                Scrap       FA      221A, 222A  000_Process Flow Chart, 015_Module and Patch c...
19                  NaN  Service      321A, 323A  000_Process Flow Chart, 015_Module and Patch c...
20                  NaN     TEFR        92A, 93A  000_Process Flow Chart, 015_Module and Patch c...
21                  NaN      RMK      413A, 414A  000_Process Flow Chart, 015_Module and Patch c...
22/Aug/2022 04:23:36 PM - <module> - 116 - CRITICAL - Traceback Error: NoneType: None

